날짜,성경(시작),장(시작),성경(끝),장(끝),글 수
1,창세기,1,창세기,3,4396
2,창세기,4,창세기,7,4546
3,창세기,8,창세기,11,4840
4,창세기,12,창세기,15,4555
5,창세기,16,창세기,18,4562
6,창세기,19,창세기,21,5302
7,창세기,22,창세기,24,6712
8,창세기,25,창세기,27,6532
9,창세기,28,창세기,30,5829
10,창세기,31,창세기,32,5408
11,창세기,33,창세기,35,4534
12,창세기,36,창세기,37,4156
13,창세기,38,창세기,40,4416
14,창세기,41,창세기,42,5358
15,창세기,43,창세기,44,4322
16,창세기,45,창세기,47,5445
17,창세기,48,창세기,50,4940
18,출애굽기,1,출애굽기,3,4216
19,출애굽기,4,출애굽기,6,5132
20,출애굽기,7,출애굽기,9,5801
21,출애굽기,10,출애굽기,12,5656
22,출애굽기,13,출애굽기,15,5192
23,출애굽기,16,출애굽기,18,5045
24,출애굽기,19,출애굽기,21,4818
25,출애굽기,22,출애굽기,24,4604
26,출애굽기,25,출애굽기,27,4472
27,출애굽기,28,출애굽기,29,4824
28,출애굽기,30,출애굽기,32,5092
29,출애굽기,33,출애굽기,35,5409
30,출애굽기,36,출애굽기,38,4860
31,출애굽기,39,레위기,1,4675
32,레위기,2,레위기,5,5087
33,레위기,6,레위기,8,5804
34,레위기,9,레위기,11,4920
35,레위기,12,레위기,14,6868
36,레위기,15,레위기,17,5012
37,레위기,18,레위기,20,5319
38,레위기,21,레위기,23,5852
39,레위기,24,레위기,25,4419
40,레위기,26,레위기,27,4728
41,민수기,1,민수기,3,6590
42,민수기,4,민수기,5,4288
43,민수기,6,민수기,7,6218
44,민수기,8,민수기,10,4858
45,민수기,11,민수기,13,4603
46,민수기,14,민수기,15,4803
47,민수기,16,민수기,18,6095
48,민수기,19,민수기,21,5381
49,민수기,22,민수기,23,4503
50,민수기,24,민수기,26,5486
51,민수기,27,민수기,29,4962
52,민수기,30,민수기,32,5954
53,민수기,33,민수기,35,4908
54,민수기,36,신명기,2,6353
55,신명기,3,신명기,4,5525
56,신명기,5,신명기,7,5472
57,신명기,8,신명기,10,4770
58,신명기,11,신명기,12,4276
59,신명기,13,신명기,15,4287
60,신명기,16,신명기,18,4312
61,신명기,19,신명기,21,4399
62,신명기,22,신명기,24,4793
63,신명기,25,신명기,28,8480
64,신명기,29,신명기,31,5509
65,신명기,32,신명기,33,4968
66,신명기,34,여호수아,3,4861
67,여호수아,4,여호수아,6,4496
68,여호수아,7,여호수아,8,4466
69,여호수아,9,여호수아,10,4828
70,여호수아,11,여호수아,13,4512
71,여호수아,14,여호수아,17,5331
72,여호수아,18,여호수아,20,4433
73,여호수아,21,여호수아,22,5121
74,여호수아,23,사사기,1,6056
75,사사기,2,사사기,4,5287
76,사사기,5,사사기,6,4841
77,사사기,7,사사기,8,4406
78,사사기,9,사사기,10,4869
79,사사기,11,사사기,13,5685
80,사사기,14,사사기,16,5513
81,사사기,17,사사기,19,5347
82,사사기,20,사사기,21,4816
83,룻기,1,룻기,3,4513
84,룻기,4,사무엘상,2,5896
85,사무엘상,3,사무엘상,6,5556
86,사무엘상,7,사무엘상,9,4545
87,사무엘상,10,사무엘상,12,4800
88,사무엘상,13,사무엘상,14,5202
89,사무엘상,15,사무엘상,16,4163
90,사무엘상,17,사무엘상,18,5645
91,사무엘상,19,사무엘상,20,4576
92,사무엘상,21,사무엘상,23,4842
93,사무엘상,24,사무엘상,25,4665
94,사무엘상,26,사무엘상,28,4694
95,사무엘상,29,사무엘하,1,5402
96,사무엘하,2,사무엘하,3,4910
97,사무엘하,4,사무엘하,7,6001
98,사무엘하,8,사무엘하,11,5127
99,사무엘하,12,사무엘하,13,4985
100,사무엘하,14,사무엘하,15,5065
101,사무엘하,16,사무엘하,18,6414
102,사무엘하,19,사무엘하,20,5198
103,사무엘하,21,사무엘하,23,6125
104,사무엘하,24,열왕기상,1,5366
105,열왕기상,2,열왕기상,3,5183
106,열왕기상,4,열왕기상,6,4907
107,열왕기상,7,열왕기상,8,8036
108,열왕기상,9,열왕기상,11,6628
109,열왕기상,12,열왕기상,13,4762
110,열왕기상,14,열왕기상,15,4251
111,열왕기상,16,열왕기상,18,6856
112,열왕기상,19,열왕기상,20,4830
113,열왕기상,21,열왕기상,22,5611
114,열왕기하,1,열왕기하,3,5125
115,열왕기하,4,열왕기하,5,5235
116,열왕기하,6,열왕기하,8,6177
117,열왕기하,9,열왕기하,10,5360
118,열왕기하,11,열왕기하,13,4599
119,열왕기하,14,열왕기하,15,4295
120,열왕기하,16,열왕기하,17,4181
121,열왕기하,18,열왕기하,19,5241
122,열왕기하,20,열왕기하,22,4654
123,열왕기하,23,열왕기하,24,4371
124,열왕기하,25,역대상,2,6005
125,역대상,3,역대상,5,4632
126,역대상,6,역대상,7,5515
127,역대상,8,역대상,10,4476
128,역대상,11,역대상,12,4555
