날짜,성경(시작),장(시작),성경(끝),장(끝),글 수
1,창세기,1,창세기,7,8942
2,창세기,8,창세기,14,8290
3,창세기,15,창세기,20,9181
4,창세기,21,창세기,24,8500
5,창세기,25,창세기,29,9850
6,창세기,30,창세기,33,9023
7,창세기,34,창세기,38,9400
8,창세기,39,창세기,43,10157
9,창세기,44,창세기,48,9142
10,창세기,49,출애굽기,4,9543
11,출애굽기,5,출애굽기,9,8974
12,출애굽기,10,출애굽기,14,9187
13,출애굽기,15,출애굽기,19,8292
14,출애굽기,20,출애굽기,25,9486
15,출애굽기,26,출애굽기,30,9554
16,출애굽기,31,출애굽기,35,8593
17,출애굽기,36,출애굽기,40,8553
18,레위기,1,레위기,7,9879
19,레위기,8,레위기,13,10782
20,레위기,14,레위기,18,9546
21,레위기,19,레위기,23,9637
22,레위기,24,레위기,27,9147
23,민수기,1,민수기,4,9000
24,민수기,5,민수기,8,9648
25,민수기,9,민수기,14,10616
26,민수기,15,민수기,19,9606
27,민수기,20,민수기,23,8469
28,민수기,24,민수기,28,8364
29,민수기,29,민수기,33,9872
30,민수기,34,신명기,2,9427
31,신명기,3,신명기,6,9049
32,신명기,7,신명기,11,8765
33,신명기,12,신명기,17,9409
34,신명기,18,신명기,23,9098
35,신명기,24,신명기,28,9993
36,신명기,29,신명기,32,8574
37,신명기,33,여호수아,5,9333
38,여호수아,6,여호수아,10,11221
39,여호수아,11,여호수아,16,8415
40,여호수아,17,여호수아,22,10982
41,여호수아,23,사사기,3,9649
42,사사기,4,사사기,7,8556
43,사사기,8,사사기,11,10094
44,사사기,12,사사기,16,8358
45,사사기,17,사사기,20,8462
46,사사기,21,사무엘상,1,9458
47,사무엘상,2,사무엘상,7,9400
48,사무엘상,8,사무엘상,13,9672
49,사무엘상,14,사무엘상,17,11586
50,사무엘상,18,사무엘상,22,9307
51,사무엘상,23,사무엘상,26,8645
52,사무엘상,27,사무엘하,2,10241
53,사무엘하,3,사무엘하,7,8802
54,사무엘하,8,사무엘하,13,10112
55,사무엘하,14,사무엘하,17,8985
56,사무엘하,18,사무엘하,21,9453
