날짜,성경(시작),장(시작),성경(끝),장(끝),글 수
57,사무엘하,22,열왕기상,1,9730
58,열왕기상,2,열왕기상,6,10090
59,열왕기상,7,열왕기상,9,9876
60,열왕기상,10,열왕기상,13,9550
61,열왕기상,14,열왕기상,18,11107
62,열왕기상,19,열왕기상,22,10441
63,열왕기하,1,열왕기하,5,10360
64,열왕기하,6,열왕기하,9,8918
65,열왕기하,10,열왕기하,14,9181
66,열왕기하,15,열왕기하,18,9190
67,열왕기하,19,열왕기하,23,10265
68,열왕기하,24,역대상,3,8346
69,역대상,4,역대상,7,9130
70,역대상,8,역대상,12,9031
71,역대상,13,역대상,18,8478
72,역대상,19,역대상,25,9511
73,역대상,26,역대하,1,8602
74,역대하,2,역대하,7,9352
75,역대하,8,역대하,14,9162
76,역대하,15,역대하,20,9311
77,역대하,21,역대하,26,9529
78,역대하,27,역대하,31,8374
79,역대하,32,역대하,35,8777
80,역대하,36,에스라,5,8449
81,에스라,6,에스라,10,9339
82,느헤미야,1,느헤미야,6,8753
83,느헤미야,7,느헤미야,10,8320
84,느헤미야,11,에스더,2,9658
85,에스더,3,에스더,10,8292
86,욥기,1,욥기,8,8393
87,욥기,9,욥기,16,8526
88,욥기,17,욥기,26,8650
89,욥기,27,욥기,34,9690
90,욥기,35,욥기,42,8899
91,시편,1,시편,17,8603
92,시편,18,시편,28,8734
93,시편,29,시편,38,8987
94,시편,39,시편,50,8893
95,시편,51,시편,64,8652
96,시편,65,시편,73,8753
97,시편,74,시편,82,8572
98,시편,83,시편,93,8341
99,시편,94,시편,105,9208
100,시편,106,시편,116,8692
101,시편,117,시편,121,8440
102,시편,122,시편,141,8602
103,시편,142,잠언,3,8270
104,잠언,4,잠언,11,8674
105,잠언,12,잠언,18,8482
106,잠언,19,잠언,25,8855
107,잠언,26,전도서,2,9911
108,전도서,3,전도서,10,9082
109,전도서,11,이사야,1,9517
110,이사야,2,이사야,8,8816
111,이사야,9,이사야,15,8782
112,이사야,16,이사야,24,9495
113,이사야,25,이사야,30,9165
114,이사야,31,이사야,37,9364
115,이사야,38,이사야,43,9395
116,이사야,44,이사야,49,9579
117,이사야,50,이사야,57,9195
118,이사야,58,이사야,65,10097
119,이사야,66,예레미야,4,9930
120,예레미야,5,예레미야,9,9845
121,예레미야,10,예레미야,15,9632
122,예레미야,16,예레미야,21,8675
123,예레미야,22,예레미야,26,10011
124,예레미야,27,예레미야,31,9840
125,예레미야,32,예레미야,36,10091
126,예레미야,37,예레미야,42,9229
127,예레미야,43,예레미야,48,8995
128,예레미야,49,예레미야,51,10552
129,예레미야,52,예레미야애가,4,9562
130,예레미야애가,5,에스겔,7,9978
131,에스겔,8,에스겔,13,8541
132,에스겔,14,에스겔,18,10078
133,에스겔,19,에스겔,22,8264
134,에스겔,23,에스겔,27,9376
135,에스겔,28,에스겔,32,8707
136,에스겔,33,에스겔,36,8282
137,에스겔,37,에스겔,40,8743
138,에스겔,41,에스겔,45,8484
139,에스겔,46,다니엘,2,10126
140,다니엘,3,다니엘,6,9339
141,다니엘,7,다니엘,11,10842
142,다니엘,12,호세아,9,9275
143,호세아,10,요엘,3,9105
144,아모스,1,아모스,8,8647
145,아모스,9,요나,4,8552
146,미가,1,나훔,1,8307
147,나훔,2,스바냐,3,9391
148,학개,1,스가랴,7,8757
149,스가랴,8,말라기,1,9172
150,말라기,2,마태복음,5,10722
151,마태복음,6,마태복음,10,9981
152,마태복음,11,마태복음,14,9059
153,마태복음,15,마태복음,19,8746
154,마태복음,20,마태복음,23,8702
155,마태복음,24,마태복음,26,9112
156,마태복음,27,마가복음,2,8573
157,마가복음,3,마가복음,6,8880
158,마가복음,7,마가복음,10,9723
159,마가복음,11,마가복음,14,10744
160,마가복음,15,누가복음,2,9259
161,누가복음,3,누가복음,6,9701
162,누가복음,7,누가복음,9,9893
163,누가복음,10,누가복음,12,8824
164,누가복음,13,누가복음,17,9373
165,누가복음,18,누가복음,21,9102
166,누가복음,22,누가복음,24,8899
167,요한복음,1,요한복음,4,8421
168,요한복음,5,요한복음,7,8632
169,요한복음,8,요한복음,11,10243
170,요한복음,12,요한복음,15,8358
171,요한복음,16,요한복음,19,8824
172,요한복음,20,사도행전,3,9012
173,사도행전,4,사도행전,8,10045
174,사도행전,9,사도행전,13,10529
175,사도행전,14,사도행전,18,9319
176,사도행전,19,사도행전,22,8284
177,사도행전,23,사도행전,27,9263
178,사도행전,28,로마서,5,9492
179,로마서,6,로마서,11,10162
180,로마서,12,고린도전서,1,8429
181,고린도전서,2,고린도전서,8,8806
182,고린도전서,9,고린도전서,14,9513
183,고린도전서,15,고린도후서,4,8753
184,고린도후서,5,고린도후서,11,8802
185,고린도후서,12,갈라디아서,4,8374
186,갈라디아서,5,에베소서,5,8734
187,에베소서,6,골로새서,1,8543
188,골로새서,2,데살로니가전서,5,8324
189,데살로니가후서,1,디모데전서,6,8772
190,디모데후서,1,빌레몬서,1,9119
191,히브리서,1,히브리서,7,8672
192,히브리서,8,히브리서,12,8500
193,히브리서,13,베드로전서,1,8748
194,베드로전서,2,베드로후서,3,8575
195,요한1서,1,요한2서,1,10985
196,요한3서,1,유다서,1,8996
197,요한계시록,1,요한계시록,4,8651
198,요한계시록,5,요한계시록,13,9310
199,요한계시록,14,요한계시록,20,8524
200,요한계시록,21,요한계시록,22,2935
