날짜,성경(시작),장(시작),성경(끝),장(끝),글 수
1,창세기,1,창세기,6,7936
2,창세기,7,창세기,12,7022
3,창세기,13,창세기,18,7941
4,창세기,19,창세기,23,7988
5,창세기,24,창세기,26,7696
6,창세기,27,창세기,30,8691
7,창세기,31,창세기,34,8324
8,창세기,35,창세기,38,7588
9,창세기,39,창세기,42,7960
10,창세기,43,창세기,46,7738
11,창세기,47,창세기,50,6969
12,출애굽기,1,출애굽기,5,7659
13,출애굽기,6,출애굽기,9,7490
14,출애굽기,10,출애굽기,13,7115
15,출애굽기,14,출애굽기,17,7061
16,출애굽기,18,출애굽기,22,8203
17,출애굽기,23,출애굽기,27,7408
18,출애굽기,28,출애굽기,31,7668
19,출애굽기,32,출애굽기,35,7657
20,출애굽기,36,출애굽기,39,6963
21,출애굽기,40,레위기,5,7659
22,레위기,6,레위기,9,7103
23,레위기,10,레위기,13,7489
24,레위기,14,레위기,16,6928
25,레위기,17,레위기,21,7723
26,레위기,22,레위기,25,8951
27,레위기,26,민수기,1,7270
28,민수기,2,민수기,5,8336
29,민수기,6,민수기,8,7770
30,민수기,9,민수기,13,7909
31,민수기,14,민수기,16,7780
32,민수기,17,민수기,21,8499
33,민수기,22,민수기,25,6966
34,민수기,26,민수기,29,7985
35,민수기,30,민수기,33,7788
36,민수기,34,신명기,1,7051
37,신명기,2,신명기,4,7901
38,신명기,5,신명기,9,8839
39,신명기,10,신명기,13,6957
40,신명기,14,신명기,18,7321
41,신명기,19,신명기,23,7679
42,신명기,24,신명기,28,9993
43,신명기,29,신명기,32,8574
44,신명기,33,여호수아,4,8233
45,여호수아,5,여호수아,8,7493
46,여호수아,9,여호수아,12,7388
47,여호수아,13,여호수아,17,7283
48,여호수아,18,여호수아,22,9554
49,여호수아,23,사사기,2,7657
50,사사기,3,사사기,6,8527
51,사사기,7,사사기,9,8165
52,사사기,10,사사기,14,8355
53,사사기,15,사사기,18,7022
54,사사기,19,사사기,21,7094
