날짜,성경(시작),장(시작),성경(끝),장(끝),글 수
55,룻기,1,사무엘상,1,7757
56,사무엘상,2,사무엘상,6,8208
57,사무엘상,7,사무엘상,11,7462
58,사무엘상,12,사무엘상,14,7085
59,사무엘상,15,사무엘상,17,7903
60,사무엘상,18,사무엘상,21,7590
61,사무엘상,22,사무엘상,25,8398
62,사무엘상,26,사무엘상,30,7580
63,사무엘상,31,사무엘하,3,7426
64,사무엘하,4,사무엘하,8,7065
65,사무엘하,9,사무엘하,13,9048
66,사무엘하,14,사무엘하,17,8985
67,사무엘하,18,사무엘하,20,7692
68,사무엘하,21,사무엘하,24,8040
69,열왕기상,1,열왕기상,3,8634
70,열왕기상,4,열왕기상,7,8139
71,열왕기상,8,열왕기상,10,8468
72,열왕기상,11,열왕기상,13,7726
73,열왕기상,14,열왕기상,17,7975
74,열왕기상,18,열왕기상,20,7962
75,열왕기상,21,열왕기하,1,7024
76,열왕기하,2,열왕기하,5,8947
77,열왕기하,6,열왕기하,9,8918
78,열왕기하,10,열왕기하,13,7218
79,열왕기하,14,열왕기하,17,8476
80,열왕기하,18,열왕기하,21,8443
81,열왕기하,22,열왕기하,25,7829
82,역대상,1,역대상,4,7091
83,역대상,5,역대상,7,7055
84,역대상,8,역대상,12,9031
85,역대상,13,역대상,17,7480
86,역대상,18,역대상,23,7854
87,역대상,24,역대상,28,7908
88,역대상,29,역대하,4,6901
89,역대하,5,역대하,8,6912
90,역대하,9,역대하,13,7097
91,역대하,14,역대하,19,7624
92,역대하,20,역대하,24,8512
93,역대하,25,역대하,29,8503
94,역대하,30,역대하,33,7798
95,역대하,34,에스라,1,7090
96,에스라,2,에스라,6,7513
97,에스라,7,에스라,10,7692
98,느헤미야,1,느헤미야,5,7401
99,느헤미야,6,느헤미야,9,8160
100,느헤미야,10,느헤미야,13,8101
101,에스더,1,에스더,6,7180
102,에스더,7,욥기,3,7620
103,욥기,4,욥기,10,7342
104,욥기,11,욥기,18,7540
105,욥기,19,욥기,26,7248
106,욥기,27,욥기,33,8177
107,욥기,34,욥기,39,7243
108,욥기,40,시편,8,6920
109,시편,9,시편,18,7156
110,시편,19,시편,29,6907
111,시편,30,시편,37,7663
112,시편,38,시편,46,6983
113,시편,47,시편,57,7345
114,시편,58,시편,68,7748
115,시편,69,시편,76,7116
116,시편,77,시편,83,7226
117,시편,84,시편,92,7392
118,시편,93,시편,104,7740
119,시편,105,시편,109,7204
120,시편,110,시편,119,11121
121,시편,120,시편,139,7933
122,시편,140,잠언,1,7409
123,잠언,2,잠언,8,7572
124,잠언,9,잠언,15,8037
125,잠언,16,잠언,21,7354
126,잠언,22,잠언,27,7357
127,잠언,28,전도서,2,7655
128,전도서,3,전도서,9,8168
129,전도서,10,아가,6,7006
130,아가,7,이사야,5,8432
131,이사야,6,이사야,10,7294
132,이사야,11,이사야,17,7261
133,이사야,18,이사야,24,7531
134,이사야,25,이사야,30,9165
135,이사야,31,이사야,37,9364
136,이사야,38,이사야,42,7562
137,이사야,43,이사야,47,7832
138,이사야,48,이사야,52,7286
139,이사야,53,이사야,59,8183
140,이사야,60,이사야,65,7403
141,이사야,66,예레미야,3,7859
142,예레미야,4,예레미야,7,8419
143,예레미야,8,예레미야,12,8163
144,예레미야,13,예레미야,17,8458
145,예레미야,18,예레미야,22,7260
146,예레미야,23,예레미야,26,7934
147,예레미야,27,예레미야,31,9840
148,예레미야,32,예레미야,35,7753
149,예레미야,36,예레미야,39,7132
150,예레미야,40,예레미야,44,7882
151,예레미야,45,예레미야,49,8395
152,예레미야,50,예레미야,51,7705
153,예레미야,52,예레미야애가,3,8155
154,예레미야애가,4,에스겔,4,7364
155,에스겔,5,에스겔,10,7502
156,에스겔,11,에스겔,15,7247
157,에스겔,16,에스겔,18,7891
158,에스겔,19,에스겔,22,8264
159,에스겔,23,에스겔,26,7380
160,에스겔,27,에스겔,30,6990
161,에스겔,31,에스겔,34,8318
162,에스겔,35,에스겔,38,7247
163,에스겔,39,에스겔,42,7800
164,에스겔,43,에스겔,46,7608
165,에스겔,47,다니엘,2,8375
166,다니엘,3,다니엘,5,7274
167,다니엘,6,다니엘,9,8192
168,다니엘,10,호세아,2,7870
169,호세아,3,호세아,10,7197
170,호세아,11,요엘,3,8028
171,아모스,1,아모스,7,7676
172,아모스,8,요나,1,7620
173,요나,2,미가,6,7863
174,미가,7,하박국,3,8013
175,스바냐,1,스가랴,1,7710
176,스가랴,2,스가랴,9,7571
177,스가랴,10,말라기,2,7830
178,말라기,3,마태복음,5,9265
179,마태복음,6,마태복음,9,7673
180,마태복음,10,마태복음,13,9699
181,마태복음,14,마태복음,18,8717
182,마태복음,19,마태복음,22,8365
183,마태복음,23,마태복음,26,11146
184,마태복음,27,마가복음,2,8573
185,마가복음,3,마가복음,6,8880
186,마가복음,7,마가복음,10,9723
187,마가복음,11,마가복음,14,10744
188,마가복음,15,누가복음,1,6958
189,누가복음,2,누가복음,5,9102
190,누가복음,6,누가복음,8,9135
191,누가복음,9,누가복음,11,9130
192,누가복음,12,누가복음,14,7393
193,누가복음,15,누가복음,18,7679
194,누가복음,19,누가복음,22,10373
195,누가복음,23,요한복음,1,7896
196,요한복음,2,요한복음,5,8246
197,요한복음,6,요한복음,8,9446
198,요한복음,9,요한복음,11,6989
199,요한복음,12,요한복음,15,8358
200,요한복음,16,요한복음,19,8824
201,요한복음,20,사도행전,2,7510
202,사도행전,3,사도행전,7,9633
203,사도행전,8,사도행전,11,8217
204,사도행전,12,사도행전,15,7748
205,사도행전,16,사도행전,19,7994
206,사도행전,20,사도행전,23,8089
207,사도행전,24,사도행전,27,7261
208,사도행전,28,로마서,4,8081
209,로마서,5,로마서,9,8309
210,로마서,10,로마서,15,8492
211,로마서,16,고린도전서,5,7578
212,고린도전서,6,고린도전서,10,7780
213,고린도전서,11,고린도전서,15,9214
214,고린도전서,16,고린도후서,5,7036
215,고린도후서,6,고린도후서,11,7467
216,고린도후서,12,갈라디아서,4,8374
217,갈라디아서,5,에베소서,4,7295
218,에베소서,5,빌립보서,3,7022
219,빌립보서,4,데살로니가전서,1,7121
220,데살로니가전서,2,디모데전서,1,8103
221,디모데전서,2,디모데후서,2,7313
222,디모데후서,3,히브리서,1,8679
223,히브리서,2,히브리서,8,7529
224,히브리서,9,히브리서,12,7602
225,히브리서,13,야고보서,5,7197
226,베드로전서,1,베드로후서,1,7522
227,베드로후서,2,요한1서,4,7864
228,요한1서,5,요한3서,1,10223
229,유다서,1,요한계시록,1,8996
230,요한계시록,2,요한계시록,7,7262
231,요한계시록,8,요한계시록,14,7699
232,요한계시록,15,요한계시록,20,7026
233,요한계시록,21,요한계시록,22,2935
