날짜,성경(시작),장(시작),성경(끝),장(끝),글 수
1,창세기,1,창세기,5,6768
2,창세기,6,창세기,11,7014
3,창세기,12,창세기,17,7106
4,창세기,18,창세기,21,7313
5,창세기,22,창세기,24,6712
6,창세기,25,창세기,27,6532
7,창세기,28,창세기,31,9308
8,창세기,32,창세기,35,6463
9,창세기,36,창세기,39,7364
10,창세기,40,창세기,42,6566
11,창세기,43,창세기,46,7738
12,창세기,47,창세기,50,6969
13,출애굽기,1,출애굽기,5,7659
14,출애굽기,6,출애굽기,9,7490
15,출애굽기,10,출애굽기,13,7115
16,출애굽기,14,출애굽기,17,7061
17,출애굽기,18,출애굽기,21,6535
18,출애굽기,22,출애굽기,26,7970
19,출애굽기,27,출애굽기,30,7838
20,출애굽기,31,출애굽기,34,6904
21,출애굽기,35,출애굽기,38,6549
22,출애굽기,39,레위기,3,6506
23,레위기,4,레위기,7,7066
24,레위기,8,레위기,11,6914
25,레위기,12,레위기,14,6868
26,레위기,15,레위기,18,6546
27,레위기,19,레위기,22,7063
28,레위기,23,레위기,25,6993
29,레위기,26,민수기,1,7270
30,민수기,2,민수기,4,6458
31,민수기,5,민수기,7,8096
32,민수기,8,민수기,11,7097
33,민수기,12,민수기,15,7167
34,민수기,16,민수기,19,7510
35,민수기,20,민수기,22,6599
36,민수기,23,민수기,26,7356
37,민수기,27,민수기,31,8540
38,민수기,32,민수기,35,7284
39,민수기,36,신명기,3,8426
40,신명기,4,신명기,6,6976
41,신명기,7,신명기,10,6718
42,신명기,11,신명기,14,6997
43,신명기,15,신명기,19,7287
44,신명기,20,신명기,24,7783
45,신명기,25,신명기,28,8480
46,신명기,29,신명기,32,8574
47,신명기,33,여호수아,3,6764
48,여호수아,4,여호수아,7,6568
49,여호수아,8,여호수아,10,7222
50,여호수아,11,여호수아,15,7833
51,여호수아,16,여호수아,21,8740
52,여호수아,22,여호수아,24,6589
53,사사기,1,사사기,4,7578
54,사사기,5,사사기,7,6862
55,사사기,8,사사기,10,7254
56,사사기,11,사사기,14,7245
57,사사기,15,사사기,18,7022
58,사사기,19,사사기,21,7094
59,룻기,1,사무엘상,1,7757
60,사무엘상,2,사무엘상,5,6578
61,사무엘상,6,사무엘상,10,8002
