날짜,성경(시작),장(시작),성경(끝),장(끝),글 수
1,창세기,1,창세기,2,2863
2,창세기,3,창세기,4,3008
3,창세기,5,창세기,7,3071
4,창세기,8,창세기,10,3601
5,창세기,11,창세기,13,3332
6,창세기,14,창세기,16,3496
7,창세기,17,창세기,18,3528
8,창세기,19,창세기,20,3514
9,창세기,21,창세기,22,3261
10,창세기,23,창세기,24,5239
11,창세기,25,창세기,26,3670
12,창세기,27,창세기,27,2862
13,창세기,28,창세기,29,3318
14,창세기,30,창세기,31,5990
15,창세기,32,창세기,33,3033
16,창세기,34,창세기,35,3430
17,창세기,36,창세기,37,4156
18,창세기,38,창세기,39,3208
19,창세기,40,창세기,41,4079
20,창세기,42,창세기,43,4684
21,창세기,44,창세기,45,3824
22,창세기,46,창세기,47,3746
23,창세기,48,창세기,49,3367
24,창세기,50,출애굽기,2,4090
25,출애굽기,3,출애굽기,4,3658
26,출애굽기,5,출애굽기,6,3173
27,출애굽기,7,출애굽기,8,3634
28,출애굽기,9,출애굽기,10,4187
29,출애굽기,11,출애굽기,12,3636
30,출애굽기,13,출애굽기,14,3531
31,출애굽기,15,출애굽기,16,3905
32,출애굽기,17,출애굽기,18,2801
33,출애굽기,19,출애굽기,20,2887
34,출애굽기,21,출애굽기,22,3599
35,출애굽기,23,출애굽기,24,2936
36,출애굽기,25,출애굽기,26,3366
37,출애굽기,27,출애굽기,28,3405
38,출애굽기,29,출애굽기,30,4433
39,출애굽기,31,출애굽기,32,3184
40,출애굽기,33,출애굽기,34,3720
41,출애굽기,35,출애굽기,36,3588
42,출애굽기,37,출애굽기,38,2961
43,출애굽기,39,출애굽기,40,3693
44,레위기,1,레위기,3,2813
45,레위기,4,레위기,5,3256
46,레위기,6,레위기,7,3810
47,레위기,8,레위기,9,3293
48,레위기,10,레위기,11,3621
49,레위기,12,레위기,13,3868
50,레위기,14,레위기,14,3000
51,레위기,15,레위기,16,3928
52,레위기,17,레위기,19,4601
53,레위기,20,레위기,21,3122
54,레위기,22,레위기,23,4532
55,레위기,24,레위기,25,4419
56,레위기,26,레위기,26,2845
57,레위기,27,민수기,1,4425
58,민수기,2,민수기,3,4048
59,민수기,4,민수기,5,4288
60,민수기,6,민수기,7,6218
61,민수기,8,민수기,9,3067
62,민수기,10,민수기,11,4030
63,민수기,12,민수기,14,5071
64,민수기,15,민수기,16,5073
65,민수기,17,민수기,18,3118
66,민수기,19,민수기,20,3236
67,민수기,21,민수기,22,4778
68,민수기,23,민수기,24,3355
69,민수기,25,민수기,26,4001
70,민수기,27,민수기,28,2878
71,민수기,29,민수기,30,3159
72,민수기,31,민수기,32,4879
73,민수기,33,민수기,34,3024
74,민수기,35,민수기,36,2816
75,신명기,1,신명기,1,3045
76,신명기,2,신명기,3,4449
77,신명기,4,신명기,4,3452
78,신명기,5,신명기,6,3524
79,신명기,7,신명기,8,3247
80,신명기,9,신명기,10,3471
81,신명기,11,신명기,12,4276
82,신명기,13,신명기,15,4287
83,신명기,16,신명기,17,2893
84,신명기,18,신명기,19,2828
85,신명기,20,신명기,21,2990
86,신명기,22,신명기,23,3280
87,신명기,24,신명기,26,4159
88,신명기,27,신명기,28,5834
89,신명기,29,신명기,30,3316
90,신명기,31,신명기,32,5258
91,신명기,33,여호수아,1,3899
92,여호수아,2,여호수아,3,2865
93,여호수아,4,여호수아,6,4496
94,여호수아,7,여호수아,8,4466
95,여호수아,9,여호수아,10,4828
96,여호수아,11,여호수아,13,4512
97,여호수아,14,여호수아,15,3321
98,여호수아,16,여호수아,18,3615
99,여호수아,19,여호수아,20,2828
100,여호수아,21,여호수아,22,5121
101,여호수아,23,여호수아,24,3765
102,사사기,1,사사기,2,3892
103,사사기,3,사사기,4,3686
104,사사기,5,사사기,6,4841
105,사사기,7,사사기,8,4406
106,사사기,9,사사기,9,3759
107,사사기,10,사사기,11,3950
108,사사기,12,사사기,13,2845
109,사사기,14,사사기,15,3050
110,사사기,16,사사기,17,3340
111,사사기,18,사사기,19,4470
112,사사기,20,사사기,20,3115
113,사사기,21,룻기,1,3275
114,룻기,2,룻기,3,2939
115,룻기,4,사무엘상,1,3244
116,사무엘상,2,사무엘상,3,4031
117,사무엘상,4,사무엘상,6,4177
118,사무엘상,7,사무엘상,9,4545
119,사무엘상,10,사무엘상,11,2917
120,사무엘상,12,사무엘상,13,3402
121,사무엘상,14,사무엘상,14,3683
122,사무엘상,15,사무엘상,16,4163
123,사무엘상,17,사무엘상,17,3740
124,사무엘상,18,사무엘상,19,3591
125,사무엘상,20,사무엘상,20,2890
126,사무엘상,21,사무엘상,22,2826
127,사무엘상,23,사무엘상,24,3482
128,사무엘상,25,사무엘상,25,3199
129,사무엘상,26,사무엘상,27,2834
130,사무엘상,28,사무엘상,29,2759
131,사무엘상,30,사무엘상,31,2787
132,사무엘하,1,사무엘하,2,3825
133,사무엘하,3,사무엘하,3,2801
134,사무엘하,4,사무엘하,6,4037
135,사무엘하,7,사무엘하,8,3028
136,사무엘하,9,사무엘하,11,4063
137,사무엘하,12,사무엘하,13,4985
138,사무엘하,14,사무엘하,15,5065
139,사무엘하,16,사무엘하,17,3920
140,사무엘하,18,사무엘하,19,5762
141,사무엘하,20,사무엘하,21,3691
142,사무엘하,22,사무엘하,23,4364
143,사무엘하,24,열왕기상,1,5366
144,열왕기상,2,열왕기상,2,3322
145,열왕기상,3,열왕기상,4,3560
146,열왕기상,5,열왕기상,6,3208
147,열왕기상,7,열왕기상,7,3232
148,열왕기상,8,열왕기상,8,4804
149,열왕기상,9,열왕기상,10,3664
150,열왕기상,11,열왕기상,11,2964
151,열왕기상,12,열왕기상,13,4762
152,열왕기상,14,열왕기상,15,4251
153,열왕기상,16,열왕기상,17,3724
154,열왕기상,18,열왕기상,18,3132
155,열왕기상,19,열왕기상,20,4830
156,열왕기상,21,열왕기상,22,5611
157,열왕기하,1,열왕기하,2,3327
158,열왕기하,3,열왕기하,4,4845
159,열왕기하,5,열왕기하,6,4516
160,열왕기하,7,열왕기하,8,3849
161,열왕기하,9,열왕기하,10,5360
162,열왕기하,11,열왕기하,12,2846
163,열왕기하,13,열왕기하,14,3716
164,열왕기하,15,열왕기하,16,3676
165,열왕기하,17,열왕기하,17,2837
166,열왕기하,18,열왕기하,19,5241
167,열왕기하,20,열왕기하,21,3202
168,열왕기하,22,열왕기하,23,4499
169,열왕기하,24,열왕기하,25,3330
170,역대상,1,역대상,2,3999
171,역대상,3,역대상,4,3092
172,역대상,5,역대상,6,4959
173,역대상,7,역대상,8,3372
174,역대상,9,역대상,10,3200
175,역대상,11,역대상,12,4555
176,역대상,13,역대상,15,3491
177,역대상,16,역대상,17,3989
178,역대상,18,역대상,20,2965
179,역대상,21,역대상,22,3450
180,역대상,23,역대상,25,4094
181,역대상,26,역대상,27,3601
182,역대상,28,역대상,29,3826
183,역대하,1,역대하,3,3493
184,역대하,4,역대하,6,5364
185,역대하,7,역대하,8,2782
186,역대하,9,역대하,10,3263
187,역대하,11,역대하,13,3834
188,역대하,14,역대하,16,3105
189,역대하,17,역대하,18,3654
190,역대하,19,역대하,20,3505
191,역대하,21,역대하,23,3948
192,역대하,24,역대하,25,4028
193,역대하,26,역대하,28,3980
194,역대하,29,역대하,30,4402
195,역대하,31,역대하,32,4105
196,역대하,33,역대하,34,4218
197,역대하,35,역대하,36,3770
198,에스라,1,에스라,2,2807
199,에스라,3,에스라,5,3871
200,에스라,6,에스라,7,3552
201,에스라,8,에스라,9,3618
202,에스라,10,느헤미야,1,3010
203,느헤미야,2,느헤미야,3,3621
204,느헤미야,4,느헤미야,5,2939
205,느헤미야,6,느헤미야,7,3760
206,느헤미야,8,느헤미야,9,4400
207,느헤미야,10,느헤미야,11,3428
208,느헤미야,12,느헤미야,13,4673
209,에스더,1,에스더,2,3069
210,에스더,3,에스더,5,3124
211,에스더,6,에스더,8,2986
212,에스더,9,욥기,1,3638
213,욥기,2,욥기,4,2828
214,욥기,5,욥기,7,3262
215,욥기,8,욥기,10,3235
216,욥기,11,욥기,13,2865
217,욥기,14,욥기,16,3273
218,욥기,17,욥기,20,3689
219,욥기,21,욥기,23,3117
220,욥기,24,욥기,27,2782
221,욥기,28,욥기,30,3265
222,욥기,31,욥기,33,3974
223,욥기,34,욥기,36,3520
224,욥기,37,욥기,39,3723
225,욥기,40,욥기,42,3169
226,시편,1,시편,7,3358
227,시편,8,시편,12,2948
228,시편,13,시편,18,4601
229,시편,19,시편,22,3072
230,시편,23,시편,27,2820
231,시편,28,시편,31,2845
232,시편,32,시편,35,3674
233,시편,36,시편,38,3006
234,시편,39,시편,42,3139
235,시편,43,시편,46,2997
236,시편,47,시편,51,3671
237,시편,52,시편,56,3037
238,시편,57,시편,61,3107
239,시편,62,시편,66,3149
240,시편,67,시편,69,3815
241,시편,70,시편,73,3383
242,시편,74,시편,77,2910
243,시편,78,시편,78,3091
244,시편,79,시편,83,3272
245,시편,84,시편,88,3106
246,시편,89,시편,90,2996
247,시편,91,시편,95,2947
248,시편,96,시편,102,3729
249,시편,103,시편,105,4070
250,시편,106,시편,107,3607
251,시편,108,시편,112,3095
252,시편,113,시편,118,3199
253,시편,119,시편,119,6708
254,시편,120,시편,129,2775
255,시편,130,시편,136,3255
256,시편,137,시편,141,3095
257,시편,142,시편,146,3068
258,시편,147,잠언,1,3149
259,잠언,2,잠언,4,3053
260,잠언,5,잠언,7,3166
261,잠언,8,잠언,10,3248
262,잠언,11,잠언,13,3412
263,잠언,14,잠언,16,4138
264,잠언,17,잠언,19,3468
265,잠언,20,잠언,22,3625
266,잠언,23,잠언,24,2788
267,잠언,25,잠언,27,3422
268,잠언,28,잠언,30,3777
269,잠언,31,전도서,2,3878
270,전도서,3,전도서,5,3430
271,전도서,6,전도서,8,3426
272,전도서,9,전도서,11,2830
273,전도서,12,아가,3,2956
274,아가,4,아가,7,3192
275,아가,8,이사야,1,2765
276,이사야,2,이사야,4,2912
277,이사야,5,이사야,6,3025
278,이사야,7,이사야,8,2879
279,이사야,9,이사야,10,3485
280,이사야,11,이사야,14,4744
281,이사야,15,이사야,18,3031
282,이사야,19,이사야,21,3065
283,이사야,22,이사야,24,3952
284,이사야,25,이사야,27,3027
285,이사야,28,이사야,29,3730
286,이사야,30,이사야,31,3134
287,이사야,32,이사야,34,3698
288,이사야,35,이사야,37,4940
289,이사야,38,이사야,40,3950
290,이사야,41,이사야,42,3612
291,이사야,43,이사야,44,3959
292,이사야,45,이사야,47,3873
293,이사야,48,이사야,49,3580
294,이사야,50,이사야,52,3706
295,이사야,53,이사야,55,3177
296,이사야,56,이사야,58,3528
297,이사야,59,이사야,60,3038
298,이사야,61,이사야,63,3118
299,이사야,64,이사야,66,4625
300,예레미야,1,예레미야,2,3981
301,예레미야,3,예레미야,4,4049
302,예레미야,5,예레미야,6,4049
303,예레미야,7,예레미야,8,3910
304,예레미야,9,예레미야,10,3502
305,예레미야,11,예레미야,12,3050
306,예레미야,13,예레미야,14,3359
307,예레미야,15,예레미야,16,3234
308,예레미야,17,예레미야,18,3442
309,예레미야,19,예레미야,21,3606
310,예레미야,22,예레미야,23,4949
311,예레미야,24,예레미야,25,3291
312,예레미야,26,예레미야,27,3461
313,예레미야,28,예레미야,29,3503
314,예레미야,30,예레미야,31,4647
315,예레미야,32,예레미야,32,2863
316,예레미야,33,예레미야,34,3467
317,예레미야,35,예레미야,36,3761
318,예레미야,37,예레미야,38,3613
319,예레미야,39,예레미야,41,3866
320,예레미야,42,예레미야,44,5197
321,예레미야,45,예레미야,48,5548
322,예레미야,49,예레미야,49,2847
323,예레미야,50,예레미야,50,3370
324,예레미야,51,예레미야,51,4335
325,예레미야,52,예레미야애가,1,4018
326,예레미야애가,2,예레미야애가,3,4137
327,예레미야애가,4,에스겔,1,3886
328,에스겔,2,에스겔,4,3478
329,에스겔,5,에스겔,7,4021
330,에스겔,8,에스겔,10,3481
331,에스겔,11,에스겔,12,3392
332,에스겔,13,에스겔,14,3374
333,에스겔,15,에스겔,16,4524
334,에스겔,17,에스겔,18,3848
335,에스겔,19,에스겔,20,4310
336,에스겔,21,에스겔,22,3954
337,에스겔,23,에스겔,23,2956
338,에스겔,24,에스겔,25,2903
339,에스겔,26,에스겔,27,3517
340,에스겔,28,에스겔,29,3305
341,에스겔,30,에스겔,31,3039
342,에스겔,32,에스겔,33,4893
343,에스겔,34,에스겔,35,3017
344,에스겔,36,에스겔,37,4712
345,에스겔,38,에스겔,39,3594
346,에스겔,40,에스겔,40,3172
347,에스겔,41,에스겔,43,4460
348,에스겔,44,에스겔,45,4024
349,에스겔,46,에스겔,47,3302
350,에스겔,48,다니엘,1,3355
351,다니엘,2,다니엘,2,3469
352,다니엘,3,다니엘,4,5132
353,다니엘,5,다니엘,6,4207
354,다니엘,7,다니엘,8,3900
355,다니엘,9,다니엘,10,3653
