날짜,성경(시작),장(시작),성경(끝),장(끝),글 수
1,창세기,1,창세기,8,9993
2,창세기,9,창세기,16,9378
3,창세기,17,창세기,22,10303
4,창세기,23,창세기,27,11771
5,창세기,28,창세기,31,9308
6,창세기,32,창세기,37,10619
7,창세기,38,창세기,42,9774
8,창세기,43,창세기,47,9767
9,창세기,48,출애굽기,4,11115
10,출애굽기,5,출애굽기,10,10994
11,출애굽기,11,출애굽기,16,11072
12,출애굽기,17,출애굽기,22,9287
13,출애굽기,23,출애굽기,28,9707
14,출애굽기,29,출애굽기,34,11337
15,출애굽기,35,출애굽기,40,10242
16,레위기,1,레위기,7,9879
17,레위기,8,레위기,13,10782
18,레위기,14,레위기,18,9546
19,레위기,19,레위기,23,9637
20,레위기,24,민수기,1,11689
21,민수기,2,민수기,6,9971
22,민수기,7,민수기,10,9441
23,민수기,11,민수기,15,9406
24,민수기,16,민수기,20,9331
25,민수기,21,민수기,26,12134
26,민수기,27,민수기,32,10916
27,민수기,33,신명기,2,11261
28,신명기,3,신명기,7,10997
29,신명기,8,신명기,13,10324
30,신명기,14,신명기,20,10096
31,신명기,21,신명기,27,10522
32,신명기,28,신명기,31,9884
33,신명기,32,여호수아,3,9829
34,여호수아,4,여호수아,9,10795
35,여호수아,10,여호수아,15,10828
36,여호수아,16,여호수아,22,11564
37,여호수아,23,사사기,3,9649
38,사사기,4,사사기,8,10941
39,사사기,9,사사기,13,10554
40,사사기,14,사사기,19,10860
41,사사기,20,룻기,3,9329
42,룻기,4,사무엘상,5,9822
43,사무엘상,6,사무엘상,12,10975
44,사무엘상,13,사무엘상,16,9365
45,사무엘상,17,사무엘상,20,10221
46,사무엘상,21,사무엘상,25,9507
47,사무엘상,26,사무엘하,1,10096
48,사무엘하,2,사무엘하,7,10911
49,사무엘하,8,사무엘하,13,10112
50,사무엘하,14,사무엘하,18,11479
51,사무엘하,19,사무엘하,23,11323
52,사무엘하,24,열왕기상,3,10549
53,열왕기상,4,열왕기상,8,12943
54,열왕기상,9,열왕기상,13,11390
55,열왕기상,14,열왕기상,18,11107
56,열왕기상,19,열왕기상,22,10441
57,열왕기하,1,열왕기하,5,10360
58,열왕기하,6,열왕기하,10,11537
59,열왕기하,11,열왕기하,16,10238
60,열왕기하,17,열왕기하,20,9636
61,열왕기하,21,열왕기하,25,9473
62,역대상,1,역대상,6,12050
63,역대상,7,역대상,12,11127
64,역대상,13,역대상,19,9835
65,역대상,20,역대상,26,9900
66,역대상,27,역대하,4,10408
67,역대하,5,역대하,10,10175
68,역대하,11,역대하,18,10593
69,역대하,19,역대하,24,9377
70,역대하,25,역대하,30,10486
71,역대하,31,역대하,35,10322
72,역대하,36,에스라,6,10096
73,에스라,7,느헤미야,2,10094
74,느헤미야,3,느헤미야,8,10174
75,느헤미야,9,느헤미야,13,11086
76,에스더,1,에스더,9,11150
77,에스더,10,욥기,9,9973
78,욥기,10,욥기,19,9687
79,욥기,20,욥기,30,10323
80,욥기,31,욥기,38,10039
81,욥기,39,시편,10,9937
82,시편,11,시편,25,9952
83,시편,26,시편,37,9935
84,시편,38,시편,50,9740
85,시편,51,시편,65,9297
86,시편,66,시편,75,9641
87,시편,76,시편,86,9667
88,시편,87,시편,100,9278
89,시편,101,시편,107,9250
90,시편,108,시편,119,13002
91,시편,120,시편,142,9529
92,시편,143,잠언,5,9784
93,잠언,6,잠언,14,10338
94,잠언,15,잠언,22,9801
95,잠언,23,잠언,30,9987
96,잠언,31,전도서,7,9626
97,전도서,8,아가,6,9426
98,아가,7,이사야,6,9362
99,이사야,7,이사야,14,11108
100,이사야,15,이사야,24,10048
101,이사야,25,이사야,31,9891
102,이사야,32,이사야,38,10039
103,이사야,39,이사야,44,10120
104,이사야,45,이사야,51,10065
105,이사야,52,이사야,59,9277
106,이사야,60,이사야,66,9303
107,예레미야,1,예레미야,5,10073
108,예레미야,6,예레미야,10,9418
109,예레미야,11,예레미야,16,9643
110,예레미야,17,예레미야,23,11997
111,예레미야,24,예레미야,29,10255
112,예레미야,30,예레미야,33,9258
113,예레미야,34,예레미야,39,10274
114,예레미야,40,예레미야,46,10112
115,예레미야,47,예레미야,50,9535
116,예레미야,51,예레미야애가,2,10311
117,예레미야애가,3,에스겔,4,9543
118,에스겔,5,에스겔,12,10894
119,에스겔,13,에스겔,17,9565
120,에스겔,18,에스겔,22,10445
121,에스겔,23,에스겔,27,9376
122,에스겔,28,에스겔,33,11237
123,에스겔,34,에스겔,38,9322
124,에스겔,39,에스겔,43,9633
125,에스겔,44,에스겔,48,9413
126,다니엘,1,다니엘,4,9869
127,다니엘,5,다니엘,9,10334
128,다니엘,10,호세아,4,9371
129,호세아,5,요엘,1,10183
130,요엘,2,아모스,6,10066
131,아모스,7,요나,2,9309
132,요나,3,나훔,1,9672
133,나훔,2,스바냐,3,9391
134,학개,1,스가랴,8,10323
135,스가랴,9,말라기,3,10445
136,말라기,4,마태복음,6,9930
137,마태복음,7,마태복음,11,9577
138,마태복음,12,마태복음,15,9349
139,마태복음,16,마태복음,21,11339
140,마태복음,22,마태복음,26,13288
141,마태복음,27,마가복음,3,10250
142,마가복음,4,마가복음,8,11075
143,마가복음,9,마가복음,12,10404
144,마가복음,13,마가복음,16,9766
145,누가복음,1,누가복음,4,10212
146,누가복음,5,누가복음,8,11408
147,누가복음,9,누가복음,12,12482
148,누가복음,13,누가복음,17,9373
149,누가복음,18,누가복음,22,12720
150,누가복음,23,요한복음,3,11042
151,요한복음,4,요한복음,7,11292
152,요한복음,8,요한복음,11,10243
153,요한복음,12,요한복음,16,10264
154,요한복음,17,요한복음,21,10438
155,사도행전,1,사도행전,5,9576
156,사도행전,6,사도행전,10,10767
157,사도행전,11,사도행전,15,9245
158,사도행전,16,사도행전,20,10072
159,사도행전,21,사도행전,25,9218
160,사도행전,26,로마서,2,9272
161,로마서,3,로마서,8,9321
162,로마서,9,로마서,15,10343
163,로마서,16,고린도전서,7,11185
164,고린도전서,8,고린도전서,14,10335
165,고린도전서,15,고린도후서,5,10088
166,고린도후서,6,고린도후서,13,9918
167,갈라디아서,1,에베소서,1,9292
168,에베소서,2,빌립보서,2,9732
169,빌립보서,3,데살로니가전서,2,9644
170,데살로니가전서,3,디모데전서,5,10366
171,디모데전서,6,빌레몬서,1,10381
172,히브리서,1,히브리서,8,9570
173,히브리서,9,야고보서,1,10338
174,야고보서,2,베드로전서,4,9956
175,베드로전서,5,요한1서,4,9891
176,요한1서,5,요한3서,1,10223
177,유다서,1,요한계시록,2,10847
178,요한계시록,3,요한계시록,11,9418
179,요한계시록,12,요한계시록,19,9776
180,요한계시록,20,요한계시록,22,3877
