날짜,성경(시작),장(시작),성경(끝),장(끝),글 수
1,창세기,1,창세기,9,11405
2,창세기,10,창세기,18,11494
3,창세기,19,창세기,24,12014
4,창세기,25,창세기,30,12361
5,창세기,31,창세기,36,11978
6,창세기,37,창세기,42,11894
7,창세기,43,창세기,49,13134
8,창세기,50,출애굽기,7,12429
9,출애굽기,8,출애굽기,13,11408
10,출애굽기,14,출애굽기,20,11665
11,출애굽기,21,출애굽기,28,13306
12,출애굽기,29,출애굽기,35,13026
13,출애굽기,36,레위기,4,13242
14,레위기,5,레위기,11,12104
15,레위기,12,레위기,17,11880
16,레위기,18,레위기,24,12408
17,레위기,25,민수기,2,11928
18,민수기,3,민수기,7,13078
19,민수기,8,민수기,14,12168
20,민수기,15,민수기,20,11427
21,민수기,21,민수기,26,12134
22,민수기,27,민수기,33,12750
23,민수기,34,신명기,3,11500
24,신명기,4,신명기,9,12291
25,신명기,10,신명기,16,11432
26,신명기,17,신명기,24,12038
27,신명기,25,신명기,30,11796
28,신명기,31,여호수아,3,12022
29,여호수아,4,여호수아,10,13790
30,여호수아,11,여호수아,18,11448
31,여호수아,19,여호수아,24,11714
32,사사기,1,사사기,6,12419
33,사사기,7,사사기,11,12115
34,사사기,12,사사기,18,11427
35,사사기,19,룻기,3,11607
36,룻기,4,사무엘상,6,11452
37,사무엘상,7,사무엘상,14,14547
38,사무엘상,15,사무엘상,19,11494
39,사무엘상,20,사무엘상,25,12397
40,사무엘상,26,사무엘하,2,12205
41,사무엘하,3,사무엘하,10,12131
42,사무엘하,11,사무엘하,15,11848
43,사무엘하,16,사무엘하,20,11612
44,사무엘하,21,열왕기상,1,11491
45,열왕기상,2,열왕기상,7,13322
46,열왕기상,8,열왕기상,11,11432
47,열왕기상,12,열왕기상,17,12737
48,열왕기상,18,열왕기상,22,13573
49,열왕기하,1,열왕기하,6,12688
50,열왕기하,7,열왕기하,12,12055
51,열왕기하,13,열왕기하,18,12906
52,열왕기하,19,열왕기하,24,11589
53,열왕기하,25,역대상,6,14056
54,역대상,7,역대상,13,12007
55,역대상,14,역대상,21,11612
56,역대상,22,역대상,29,12924
57,역대하,1,역대하,8,11639
58,역대하,9,역대하,18,13856
59,역대하,19,역대하,25,11481
60,역대하,26,역대하,32,12487
61,역대하,33,에스라,3,11811
62,에스라,4,에스라,10,12194
63,느헤미야,1,느헤미야,8,12576
64,느헤미야,9,에스더,1,12537
65,에스더,2,욥기,2,12247
66,욥기,3,욥기,14,12244
67,욥기,15,욥기,27,11926
68,욥기,28,욥기,37,11774
69,욥기,38,시편,10,11467
70,시편,11,시편,28,11747
71,시편,29,시편,42,12126
72,시편,43,시편,59,11852
73,시편,60,시편,74,12380
74,시편,75,시편,89,13534
75,시편,90,시편,105,11514
76,시편,106,시편,119,16609
77,시편,120,시편,145,11756
78,시편,146,잠언,9,11844
79,잠언,10,잠언,19,12227
80,잠언,20,잠언,29,12132
81,잠언,30,전도서,8,12214
82,전도서,9,이사야,1,11743
83,이사야,2,이사야,10,12301
84,이사야,11,이사야,22,12343
85,이사야,23,이사야,30,11614
86,이사야,31,이사야,40,13314
87,이사야,41,이사야,47,11444
88,이사야,48,이사야,57,12775
89,이사야,58,이사야,66,11997
90,예레미야,1,예레미야,6,12079
91,예레미야,7,예레미야,13,12182
92,예레미야,14,예레미야,21,11921
93,예레미야,22,예레미야,27,11701
94,예레미야,28,예레미야,33,12761
95,예레미야,34,예레미야,40,11687
96,예레미야,41,예레미야,48,12017
97,예레미야,49,예레미야,52,12658
98,예레미야애가,1,에스겔,3,12413
99,에스겔,4,에스겔,12,11894
100,에스겔,13,에스겔,18,11746
101,에스겔,19,에스겔,24,12934
102,에스겔,25,에스겔,32,13413
103,에스겔,33,에스겔,38,11852
104,에스겔,39,에스겔,44,11828
105,에스겔,45,다니엘,2,11955
106,다니엘,3,다니엘,8,13239
107,다니엘,9,호세아,4,11598
108,호세아,5,요엘,2,12384
109,요엘,3,오바댜,1,13899
110,요나,1,미가,7,11980
111,나훔,1,학개,2,12894
112,스가랴,1,스가랴,12,12085
113,스가랴,13,마태복음,4,11442
114,마태복음,5,마태복음,10,12569
115,마태복음,11,마태복음,16,12638
116,마태복음,17,마태복음,22,11835
117,마태복음,23,마태복음,27,14571
118,마태복음,28,마가복음,6,14028
119,마가복음,7,마가복음,11,11634
120,마가복음,12,마가복음,16,12408
121,누가복음,1,누가복음,5,12485
122,누가복음,6,누가복음,9,12793
123,누가복음,10,누가복음,14,12865
124,누가복음,15,누가복음,20,12504
125,누가복음,21,요한복음,1,13444
126,요한복음,2,요한복음,6,11795
127,요한복음,7,요한복음,11,12886
128,요한복음,12,요한복음,17,12002
129,요한복음,18,사도행전,2,12690
130,사도행전,3,사도행전,8,11547
131,사도행전,9,사도행전,14,11969
132,사도행전,15,사도행전,20,12154
133,사도행전,21,사도행전,27,13272
134,사도행전,28,로마서,7,12346
135,로마서,8,로마서,15,12536
136,로마서,16,고린도전서,8,12007
137,고린도전서,9,고린도전서,15,12565
138,고린도전서,16,고린도후서,9,11560
139,고린도후서,10,갈라디아서,5,12517
140,갈라디아서,6,빌립보서,2,11901
141,빌립보서,3,데살로니가전서,4,11417
142,데살로니가전서,5,디모데후서,2,12336
143,디모데후서,3,히브리서,4,11876
144,히브리서,5,히브리서,12,11934
145,히브리서,13,베드로전서,3,11597
146,베드로전서,4,요한1서,5,12213
147,요한2서,1,유다서,1,13494
148,요한계시록,1,요한계시록,7,11760
149,요한계시록,8,요한계시록,18,12371
150,요한계시록,19,요한계시록,22,5289
