날짜,성경(시작),장(시작),성경(끝),장(끝),글 수
1,창세기,1,창세기,15,18337
2,창세기,16,창세기,25,18226
3,창세기,26,창세기,34,19035
4,창세기,35,창세기,43,17745
5,창세기,44,출애굽기,4,18685
6,출애굽기,5,출애굽기,14,18161
7,출애굽기,15,출애굽기,25,17778
8,출애굽기,26,출애굽기,35,18147
9,출애굽기,36,레위기,7,18432
10,레위기,8,레위기,16,17710
11,레위기,17,레위기,26,19519
12,레위기,27,민수기,7,18979
13,민수기,8,민수기,17,18048
14,민수기,18,민수기,26,17681
15,민수기,27,신명기,1,19801
16,신명기,2,신명기,10,18143
17,신명기,11,신명기,22,19036
18,신명기,23,신명기,32,20085
19,신명기,33,여호수아,9,17559
20,여호수아,10,여호수아,21,19568
21,여호수아,22,사사기,6,19008
22,사사기,7,사사기,15,18010
23,사사기,16,룻기,4,18571
24,사무엘상,1,사무엘상,11,17482
25,사무엘상,12,사무엘상,19,18579
26,사무엘상,20,사무엘상,29,17990
27,사무엘상,30,사무엘하,10,18743
28,사무엘하,11,사무엘하,18,18262
29,사무엘하,19,열왕기상,2,20011
30,열왕기상,3,열왕기상,10,18468
31,열왕기상,11,열왕기상,18,18833
32,열왕기상,19,열왕기하,4,18613
33,열왕기하,5,열왕기하,13,18324
34,열왕기하,14,열왕기하,22,18371
35,열왕기하,23,역대상,6,18427
36,역대상,7,역대상,17,18607
37,역대상,18,역대상,29,17936
38,역대하,1,역대하,13,18736
39,역대하,14,역대하,25,18240
40,역대하,26,역대하,35,18704
41,역대하,36,에스라,10,17788
42,느헤미야,1,느헤미야,11,18989
43,느헤미야,12,욥기,1,17490
44,욥기,2,욥기,19,17993
45,욥기,20,욥기,36,17817
46,욥기,37,시편,18,17799
47,시편,19,시편,41,17824
48,시편,42,시편,68,18822
49,시편,69,시편,89,19676
50,시편,90,시편,111,17791
51,시편,112,시편,139,18265
52,시편,140,잠언,11,18136
53,잠언,12,잠언,26,18478
54,잠언,27,전도서,10,17852
55,전도서,11,이사야,8,18333
56,이사야,9,이사야,24,18277
57,이사야,25,이사야,37,18529
58,이사야,38,이사야,49,18974
59,이사야,50,이사야,65,19292
60,이사야,66,예레미야,8,17889
61,예레미야,9,예레미야,19,17738
62,예레미야,20,예레미야,29,17659
63,예레미야,30,예레미야,38,18351
64,예레미야,39,예레미야,50,20828
65,예레미야,51,에스겔,3,18854
66,에스겔,4,에스겔,16,19792
67,에스겔,17,에스겔,25,17971
68,에스겔,26,에스겔,35,17771
69,에스겔,36,에스겔,44,18133
70,에스겔,45,다니엘,5,19229
71,다니엘,6,호세아,4,17563
72,호세아,5,아모스,4,17805
73,아모스,5,미가,5,17966
74,미가,6,스가랴,2,17574
75,스가랴,3,마태복음,1,17664
76,마태복음,2,마태복음,11,17887
77,마태복음,12,마태복음,20,17945
78,마태복음,21,마태복음,27,19456
79,마태복음,28,마가복음,8,17900
80,마가복음,9,마가복음,15,18963
81,마가복음,16,누가복음,7,19525
82,누가복음,8,누가복음,13,17914
83,누가복음,14,누가복음,22,19963
84,누가복음,23,요한복음,6,19691
85,요한복음,7,요한복음,13,17847
86,요한복음,14,사도행전,2,19731
87,사도행전,3,사도행전,11,17850
88,사도행전,12,사도행전,20,17820
89,사도행전,21,로마서,2,18490
90,로마서,3,로마서,14,17710
91,로마서,15,고린도전서,11,19121
92,고린도전서,12,고린도후서,8,17990
93,고린도후서,9,에베소서,3,17987
94,에베소서,4,데살로니가전서,3,17840
95,데살로니가전서,4,디도서,3,17916
96,빌레몬서,1,히브리서,11,17518
97,히브리서,12,베드로후서,2,17853
98,베드로후서,3,유다서,1,21146
99,요한계시록,1,요한계시록,13,17961
100,요한계시록,14,요한계시록,22,11459
